greek,russian,english,example,category
ανεύθυνος,безответственный,irresponsible,Ο ανεύθυνος χειρισμός της κρίσης προκάλεσε σοβαρές επιπτώσεις στην αγορά εργασίας.,14 May
επαγγελματική εμπειρία,профессиональный опыт,professional experience,Η επαγγελματική εμπειρία αποτελεί βασικό κριτήριο πρόσληψης στον ιδιωτικό τομέα.,Ιστορία 22
επαγγελματική καταξίωση,профессиональное признание,professional recognition,Η επαγγελματική καταξίωση απαιτεί χρόνια αφοσίωσης και συνεχούς εξέλιξης.,Ιστορία 42
επεξεργασίας,обработки,of processing,Η νέα μονάδα επεξεργασίας αποβλήτων αναμένεται να μειώσει την περιβαλλοντική ρύπανση κατά 40%.,Γ2 exam
εργασία εξ αποστάσεως,удалённая работа,remote work,Η εργασία εξ αποστάσεως αυξήθηκε κατά 40% μετά την πανδημία στην Ελλάδα.,13 May
εργαστήριο,мастерская / лаборатория,workshop / laboratory,Το ερευνητικό εργαστήριο βιοτεχνολογίας δημοσίευσε πρωτοποριακά ευρήματα στο Nature.,27 Jan
οφείλω,быть обязанным,"to owe, must",Κάθε εργοδότης οφείλει να σέβεται τα δικαιώματα των εργαζομένων του.,9 May
Οφειλή,"долг, обязательство",Debt / Liability,Η φορολογική οφειλή των επιχειρήσεων προς το Δημόσιο ξεπέρασε τα 100 δισεκατομμύρια ευρώ.,Γ2 exam
στέλεχος,"руководитель, сотрудник","executive, staff member",Ανώτερο στέλεχος του υπουργείου Οικονομικών παραιτήθηκε εν μέσω ερευνών για κακοδιαχείριση.,Γ2 exam
στελεχώνονται,укомплектовываются кадрами,are staffed,"Τα δημόσια νοσοκομεία στελεχώνονται ανεπαρκώς, προκαλώντας ελλείψεις σε κρίσιμες ειδικότητες.",Γ2 exam
Άδεια εργασίας,разрешение на работу,work permit,Η Άδεια εργασίας για πολίτες τρίτων χωρών απλοποιείται με τον νέο νόμο.,14 Jan
άμοιρος ευθύνης,свободный от ответственности,free of responsibility,Ο διευθυντής δήλωσε άμοιρος ευθύνης για τα οικονομικά προβλήματα της εταιρείας.,Ιστορία 44
έχω ανειλημμένη υποχρέωση,иметь предыдущее обязательство,to have a prior commitment,"Δεν μπορώ να παραστώ, καθώς έχω ανειλημμένη υποχρέωση σε άλλο συνέδριο.",22 Oct
αναβάθμιση,"модернизация, повышение уровня",upgrade,Η αναβάθμιση της πιστοληπτικής ικανότητας της χώρας αντανακλά τη σταθεροποίηση της οικονομίας.,Γ2 exam
αναλαμβάνω ευθύνη,брать ответственность,take responsibility,Ο πρόεδρος δήλωσε ότι αναλαμβάνει ευθύνη για τις αποτυχίες του οργανισμού.,Ιστορία 21
ανεργία,безработица,unemployment,Η ανεργία στους νέους ξεπερνά το 25% σε πολλές ευρωπαϊκές χώρες.,30 May
αξιωματικός,офицер,officer,Ο ανώτερος αξιωματικός του Πολεμικού Ναυτικού τοποθετήθηκε επικεφαλής της αποστολής.,30 May
γεια στα χέρια σας,молодцы (за ручную работу),well done (for handmade),"Γεια στα χέρια σας, είπαν οι πελάτες στον τεχνίτη που έφτιαξε το έπιπλο.",3 Feb
δέσμευση,обязательство,commitment,Η δέσμευση της εταιρείας για ίσες ευκαιρίες επιβεβαιώθηκε με νέες προσλήψεις.,31 Mar
διάλειμμα,перерыв,break / recess,Η ολομέλεια αποφάσισε ένα σύντομο διάλειμμα πριν τη ψηφοφορία για τη συνταγματική αναθεώρηση.,27 Mar
διαταραγμένη προσωπικότητα,расстроенная личность,disturbed personality,Η διαταραγμένη προσωπικότητα απαιτεί εξειδικευμένη ψυχιατρική παρέμβαση και μακροχρόνια θεραπεία.,27 Jan
δρω με υπευθυνότητα,действовать ответственно,act responsibly,Κάθε επαγγελματίας οφείλει να δρα με υπευθυνότητα απέναντι στο κοινωνικό σύνολο.,Ιστορία 36
εμμονή,одержимость,obsession,Η εμμονή του με την τελειότητα τον οδήγησε σε επαγγελματική επιτυχία.,Ιστορία 28
εξατομικευμένος,персонализированный,personalized,Ο εξατομικευμένος σχεδιασμός καριέρας κερδίζει έδαφος στις σύγχρονες επιχειρήσεις.,28 May
επικίνδυνη ανευθυνότητα,опасная безответственность,dangerous irresponsibility,Η επικίνδυνη ανευθυνότητα στα εργοτάξια κοστίζει ανθρώπινες ζωές κάθε χρόνο.,5 Mar — история о взломе
ευθύνεται,несёт ответственность,is responsible,Η κλιματική αλλαγή ευθύνεται για την αύξηση των ακραίων καιρικών φαινομένων στη Μεσόγειο.,Γ2 exam
ευθύνη,ответственность,responsibility,Η ευθύνη για το εργατικό δυστύχημα βαρύνει την εργολαβική εταιρεία.,14 Jan
εφημερεύων/-ουσα,дежурный,on-duty (person),Ο εφημερεύων ιατρός αντιμετώπισε τριάντα περιστατικά σε μία μόνο νυχτερινή βάρδια.,27 Jan
η συνεδρία,"заседание, сессия",session,Η συνεδρία του διοικητικού συμβουλίου αναβλήθηκε λόγω έλλειψης απαρτίας.,23 Sep
η σύνοψη / η περίληψη,краткое содержание / резюме,summary / synopsis,Η σύνοψη της έκθεσης δημοσιεύτηκε στην ιστοσελίδα του υπουργείου.,25 Feb
θραύω,разбивать,"to break, shatter",Η νεαρή αθλήτρια θραύει κάθε ρεκόρ και κερδίζει την αναγνώριση του κόσμου.,23 Sep
καθήκον,обязанность,duty,Είναι καθήκον κάθε δημοσίου υπαλλήλου να εξυπηρετεί τον πολίτη με σεβασμό.,14 May
καριέρα,карьера,career,Η καριέρα στον τομέα της τεχνολογίας προσφέρει πλέον τις περισσότερες ευκαιρίες.,Ιστορία 26
κριτήριο εργασίας,критерий оценки работы,work assessment test,Το βασικό κριτήριο εργασίας δεν είναι μόνο ο μισθός αλλά και η ισορροπία ζωής.,3 Feb
μεταφέρει την καθαρίστρια,отвезти уборщицу,take the cleaner somewhere,Το λεωφορείο μεταφέρει την καθαρίστρια κάθε πρωί στο κτίριο γραφείων.,5 Mar — история о взломе
ο/η συνεταίρος,деловой партнёр,business partner,Ο συνεταίρος της εταιρείας αποχώρησε μετά από διαφωνία για τη στρατηγική.,17 Feb
παραιτούμαι,увольняюсь / отказываюсь,to resign,Ο υπουργός παραιτείται μετά τις αποκαλύψεις για κακοδιαχείριση κονδυλίων.,12 Dec
πολέμαρχος,военачальник,war leader,"Ο πολέμαρχος ηγήθηκε της μάχης με θάρρος, σύμφωνα με τις ιστορικές πηγές.",13 Feb
προάγω,продвигать (по карьере),to promote (career etc.),Η εταιρεία αποφάσισε να προάγει δέκα υπαλλήλους βάσει απόδοσης και προσόντων.,21 Mar
προαγωγή,повышение,promotion,Η προαγωγή της στη θέση της διευθύντριας έγινε δεκτή με ενθουσιασμό.,21 Mar
προπονήτριά μου,мой тренер (жен.),my female coach,Η προπονήτριά μου με δίδαξε πειθαρχία και επιμονή στην επίτευξη στόχων.,10 Jan
προστασία προσωπικών δεδομένων,защита персональных данных,protection of personal data,Η προστασία προσωπικών δεδομένων αποτελεί βασική υποχρέωση κάθε εργοδότη.,Ιστορία 33
προσωπική ηρεμία,внутренний покой,inner peace,Η προσωπική ηρεμία είναι απαραίτητη για τη βελτίωση της εργασιακής απόδοσης.,Ιστορία 20
προχωράω,продвигаюсь,to move forward,Η κυβέρνηση προχωράει στην υλοποίηση μεταρρυθμίσεων παρά τις αντιδράσεις της αντιπολίτευσης.,12 Dec
προωθώ,продвигать,to promote,Η κυβέρνηση προωθεί νέο πρόγραμμα ενίσχυσης της νεανικής επιχειρηματικότητας.,21 Mar
προώθηση,продвижение,promotion,Η προώθηση της ισότητας των φύλων αποτελεί βασικό πυλώνα της ευρωπαϊκής στρατηγικής.,Γ2 exam
σε εφημερία,на дежурстве,on duty,Τα δημόσια νοσοκομεία σε εφημερία δέχονται υπερβολικό αριθμό ασθενών λόγω ελλείψεων.,27 Jan
το επιχείρημα,аргумент,argument,Το επιχείρημα της αντιπολίτευσης δεν έπεισε τους βουλευτές κατά τη συζήτηση.,25 Feb
το πλέγμα,"сеть, переплетение","web, network",Το πλέγμα οικονομικών μέτρων στοχεύει στη μείωση της ανεργίας κατά 5%.,19 Aug
το χρέος,"долг, обязанность","debt, duty","Το χρέος της χώρας παραμένει υψηλό, παρά τις προσπάθειες δημοσιονομικής πειθαρχίας.",25 Sep
τοπική επιχείρηση,местный бизнес,local business,Η τοπική επιχείρηση κατάφερε να επεκταθεί σε τρεις ακόμη ευρωπαϊκές αγορές.,Ιστορία 18
τροχονόμος,регулировщик,traffic officer,Ο τροχονόμος ρυθμίζει την κυκλοφορία στη διασταύρωση μετά τη βλάβη των φαναριών.,30 May
υπευθυνότητα,ответственность,responsibility,Η υπευθυνότητα στον χώρο εργασίας ενισχύει την εμπιστοσύνη μεταξύ συναδέλφων.,14 May
υποχρεώσεις,обязательства,obligations,Οι εργαζόμενοι πρέπει να γνωρίζουν τα δικαιώματα και τις υποχρεώσεις τους.,Ιστορία 31
χώρος συνεργασίας,коворкинг / пространство для совместной работы,coworking space,Ο νέος χώρος συνεργασίας στο κέντρο φιλοξενεί πάνω από 50 νεοφυείς εταιρείες.,Ιστορία 35
ύφεση,"спад, рецессия",recession,Η ύφεση στην οικονομία οδήγησε σε μαζικές απολύσεις στον ιδιωτικό τομέα.,Γ2 exam
η σύσταση,"состав, строение",composition,Η σύσταση του πρώην εργοδότη ήταν καθοριστική για την πρόσληψή της.,16 Sep
ανατροφοδοτώ,давать обратную связь,provide feedback,Η εκπαιδευτική μεταρρύθμιση δίνει έμφαση στο να ανατροφοδοτούν οι μαθητές τους δασκάλους.,27 Jan
ανατροφοδότηση,обратная связь,feedback,Η αξιοποίηση της ανατροφοδότησης από τους πολίτες βελτιώνει τις ηλεκτρονικές υπηρεσίες.,27 Jan
από + γενική (παθητική φωνή),кем (агент),by (agent),Η απόφαση ελήφθη από τον διευθυντή χωρίς διαβούλευση με τους εργαζομένους.,10 Mar
από την πρώτη ματιά,с самого первого взгляда,from the very first glance,"Από την πρώτη ματιά, το βιογραφικό του ξεχώρισε ανάμεσα σε εκατοντάδες αιτήσεις.",3 Feb
Απόδοση,"производительность, отдача","performance, yield",Η απόδοση του ελληνικού τουρισμού ξεπέρασε κάθε προσδοκία κατά το τρίτο τρίμηνο.,Γ2 exam
εγχείρημα,"начинание, предприятие",endeavor,Το φιλόδοξο εγχείρημα της ανάπλασης του παραλιακού μετώπου θα ολοκληρωθεί σε τρία χρόνια.,Γ2 exam
εκτιμώ,"оценивать, ценить","to evaluate, appreciate",Οι αναλυτές εκτιμούν ότι η αγορά εργασίας θα ανακάμψει μέχρι το τέλος του έτους.,Part 4
εκτιμώ τη διαφορετικότητα,ценить разнообразие,value diversity,Οι σύγχρονες εταιρείες εκτιμούν τη διαφορετικότητα ως πηγή καινοτομίας.,Ιστορία 42
"σύνθεση, μίξη","состав, смешение",composition,Η σύνθεση του πληθυσμού της Αθήνας αντανακλά τις μεταναστευτικές ροές της τελευταίας εικοσαετίας.,Part 4
σχόλια,комментарии,"comments, feedback",Τα σχόλια των πελατών βοήθησαν την εταιρεία να βελτιώσει τις υπηρεσίες της.,12 Dec
βαθμολόγηση,оценивание,grading,Η αντικειμενική βαθμολόγηση στις Πανελλαδικές εξετάσεις διασφαλίζεται μέσω διπλής διόρθωσης.,27 Jan
διαγώνισμα,контрольная работа,school test,Το διαγώνισμα πρόσληψης περιελάμβανε ερωτήσεις γνώσεων και δεξιοτήτων.,3 Feb
διευθυντής / διευθύντρια,директор / директриса,"manager, director",Η νέα διευθύντρια ανέλαβε καθήκοντα με στόχο τον ψηφιακό μετασχηματισμό.,27 Dec
διευκολύνω,облегчать / содействовать,to facilitate,Το υπουργείο διευκολύνει τη μετάβαση στο νέο σύστημα ηλεκτρονικών αιτήσεων.,20 Feb
ρυθμίζω τα στοιχεία μου,настраивать свои данные,manage my data/settings,Μπορείτε να ρυθμίσετε τα στοιχεία σας μέσω της ηλεκτρονικής πλατφόρμας.,Ιστορία 33
---,Образование,,,
απόφοιτος,выпускник,graduate / alumni,Οι απόφοιτοι ελληνικών πανεπιστημίων αντιμετωπίζουν υψηλά ποσοστά ανεργίας στον κλάδο τους.,27 Mar
τελειόφοιτος,выпускник (последний курс),senior (in school),Ο τελειόφοιτος της Νομικής απέκτησε υποτροφία για μεταπτυχιακές σπουδές στο Χάρβαρντ.,27 Mar
βαθμολογητής/-τρια,оценщик,grader,"Οι βαθμολογητές των Πανελλαδικών θα λάβουν αυξημένη αποζημίωση φέτος, ανακοίνωσε ο υπουργός.",27 Jan
βαθμολογώ,оценивать (ставить оценки),grade,Οι καθηγητές βαθμολογούν πλέον ηλεκτρονικά τα γραπτά μέσω της νέας πλατφόρμας.,27 Jan
180 μοίρες,180 градусов,180 degrees,Η πολιτική στροφή 180 μοιρών του κόμματος εξέπληξε ακόμη και τα ίδια του τα μέλη.,6 Jan
αναβαθμίζω,"повышать, модернизировать",to upgrade,Το υπουργείο αναβαθμίζει τις σχολικές υποδομές με κονδύλια από το Ταμείο Ανάκαμψης.,14 May
αργόσχολος,праздный,idle,"Η αύξηση των αργόσχολων νέων αποτελεί ανησυχητικό φαινόμενο, δείχνουν τα στοιχεία.",12 Dec
αφομοιώσει,"усвоить, ассимилировать",to assimilate,Η ελληνική κοινωνία δυσκολεύεται να αφομοιώσει τις ραγδαίες τεχνολογικές αλλαγές.,Γ2 exam
δοκίμιο,эссе / очерк,essay,Το δοκίμιο του καθηγητή για τη σύγχρονη εκπαίδευση προκάλεσε ευρύ δημόσιο διάλογο.,27 Feb
εκτίμηση,"оценка, признательность",appreciation / estimation,Η εκτίμηση των ειδικών είναι ότι η εξ αποστάσεως εκπαίδευση ήρθε για να μείνει.,Γ2 exam
εμβαθύνω,углубляться,to examine deeply,Το νέο πρόγραμμα σπουδών επιτρέπει στους φοιτητές να εμβαθύνουν σε εξειδικευμένα θέματα.,25 Sep
εμπεδώνω,"закреплять, усваивать",to consolidate,Οι μαθητές εμπεδώνουν τη γνώση μέσω βιωματικών δραστηριοτήτων στην τάξη.,9 May
η καθέδρα,кафедра,academic chair,Η καθέδρα της Φιλοσοφίας στο Πανεπιστήμιο Αθηνών παραμένει κενή εδώ και δύο χρόνια.,5 Dec
κειμενικός δείκτης,текстовый курсор,text indicator / cursor,"Η χρήση κειμενικών δεικτών βελτιώνει τη συνοχή των δοκιμίων, τονίζουν οι φιλόλογοι.",27 Jan
παίρνω μετάθεση,получить перевод,to get transferred,Εκατοντάδες εκπαιδευτικοί παίρνουν μετάθεση σε σχολεία κοντά στον τόπο κατοικίας τους.,30 May
πολιτική παιδεία,гражданское образование,civic education,Η πολιτική παιδεία ενισχύεται στα σχολεία ως μέσο καλλιέργειας δημοκρατικής συνείδησης.,Ιστορία 21
συλλογή / συλλέκτης / συλλέγω,коллекция / коллекционер / собирать,collection / collector / to collect,Ο συλλέκτης δωρίζει σπάνια βιβλία στη βιβλιοθήκη του πανεπιστημίου για εκπαιδευτικούς σκοπούς.,7 Mar
συνειδητοποίηση,осознание,awareness / realization,Η συνειδητοποίηση της αξίας της δια βίου μάθησης αυξάνεται στη σύγχρονη κοινωνία.,Ιστορία 21
σύστημα αξιολόγησης και κατάταξης,система оценки и ранжирования,evaluation and ranking system,Το νέο σύστημα αξιολόγησης και κατάταξης πανεπιστημίων παρουσιάστηκε στη Βουλή.,3 Feb
το πτυχίο,диплом,"diploma, degree","Το πτυχίο δεν εξασφαλίζει πλέον αυτόματα εργασία, παραδέχονται οι πρυτάνεις.",20 Dec
υπόβαθρο,"фон, подготовка",background,Το πολιτισμικό υπόβαθρο διαδραματίζει καθοριστικό ρόλο στη διαμόρφωση πολιτικών αντιλήψεων.,30 May
κεφαλαιώδης σημασία,первостепенная важность,fundamental importance,Η ψηφιακή εκπαίδευση αποκτά κεφαλαιώδη σημασία στη μετα-COVID εποχή.,22 Oct
λόγου χάρη,например,for example,"Λόγου χάρη, η Φινλανδία εφαρμόζει πρωτοποριακά μοντέλα εκπαίδευσης εδώ και δεκαετίες.",16 May
---,Медицина и здоровье,,,
αυτοκτονικός ιδεασμός,суицидальные мысли,suicidal ideation,Ο αυτοκτονικός ιδεασμός αυξήθηκε στους νέους κατά τη διάρκεια της πανδημίας.,27 Feb
αυτοκτονικότητα,суицидальность,suicidality,Ειδικοί ζητούν εθνικό σχέδιο πρόληψης κατά της αυτοκτονικότητας.,27 Feb
η ψύχωση,психоз / одержимость,psychosis / obsession,Η ψύχωση γύρω από την τεχνητή νοημοσύνη αντανακλά βαθύτερες κοινωνικές ανασφάλειες.,7 Mar
ψύχωση,психоз,psychosis,"Η ψύχωση απαιτεί άμεση ψυχιατρική παρέμβαση, τονίζουν οι ειδικοί.",10 Mar
ανοσία,иммунитет,immunity,Η ανοσία του πληθυσμού ενισχύθηκε μετά τον μαζικό εμβολιασμό.,13 May
αντιπαράθεση,"противостояние, дебаты","debate, confrontation",Η αντιπαράθεση στη Βουλή για την ενεργειακή πολιτική κράτησε πάνω από δέκα ώρες.,30 Sep
αρνητής εμβολίων,антипрививочник,vaccine denier,Αρνητές εμβολίων διαδήλωσαν στο κέντρο κατά των υποχρεωτικών μέτρων.,9 May
γαστήρ,живот / желудок (арх.),belly / stomach (archaic),Χειρουργική επέμβαση στη γαστέρα πραγματοποιήθηκε με ρομποτική τεχνολογία.,10 Mar
γαστρεντερικό σύστημα,желудочно-кишечная система,gastrointestinal system,"Το γαστρεντερικό σύστημα επηρεάζεται άμεσα από το άγχος, δείχνει νέα έρευνα.",10 Mar
η μυρωδιά,запах,smell,Η μυρωδιά χημικών ουσιών προκάλεσε ανησυχία στους κατοίκους της περιοχής.,24 Mar
η νόσος,болезнь / заболевание,disease / illness,Η νόσος εξαπλώθηκε ταχύτατα στις αστικές περιοχές τους τελευταίους μήνες.,18 Mar
η οδοντοστοιχία,зубной протез,denture,Η οδοντοστοιχία αποτελεί σημαντικό στοιχείο για τη στοματική υγεία.,9 Dec
η ορθοστασία,длительное стояние,prolonged standing,Η παρατεταμένη ορθοστασία προκαλεί προβλήματα στην κυκλοφορία του αίματος.,5 Dec
η όσφρηση,обоняние,sense of smell,Η απώλεια της όσφρησης αναγνωρίστηκε ως βασικό σύμπτωμα του ιού.,24 Mar
ηρεμιστικό,успокоительное,tranquilizer,Η αυξημένη κατανάλωση ηρεμιστικών φαρμάκων αντανακλά τα αυξημένα επίπεδα άγχους στην κοινωνία.,9 Dec
μετάγγιση,переливание,transfusion,Η μετάγγιση αίματος έσωσε τη ζωή δεκάδων τραυματιών μετά το σιδηροδρομικό δυστύχημα.,16 Feb
ναρκωτικά,наркотики,drugs,Η αστυνομία κατέσχεσε μεγάλη ποσότητα ναρκωτικών στο λιμάνι της Πάτρας.,27 Dec
νοσηρός,нездоровый / болезненный,unhealthy / morbid,Νοσηρή παχυσαρκία πλήττει ολοένα και περισσότερους νέους στην Ευρώπη.,18 Mar
ο ορθοδοντικός,ортодонт,orthodontist,Ο ορθοδοντικός συμβουλεύει τοποθέτηση σιδεράκιων σε εφηβική ηλικία για βέλτιστα αποτελέσματα.,9 Dec
παρενέργεια,побочный эффект,side effect,Η παρενέργεια του φαρμάκου προκάλεσε ανησυχία στον Ευρωπαϊκό Οργανισμό Φαρμάκων.,27 Jan
παρεξήγηση,недоразумение,misunderstanding,Η παρεξήγηση μεταξύ των δύο πλευρών διαλύθηκε μετά τη συνάντηση.,Ιστορία 45
παυσίπονο,обезболивающее,painkiller,Η υπερκατανάλωση παυσίπονων αποτελεί αυξανόμενο πρόβλημα δημόσιας υγείας στην Ευρώπη.,9 Dec
σε προχωρημένη εγκυμοσύνη,на позднем сроке беременности,in advanced pregnancy,Γυναίκα σε προχωρημένη εγκυμοσύνη διασώθηκε από τους πυροσβέστες.,13 Feb
σιδεράκια,брекеты,braces,Τα σιδεράκια αποτελούν τη συνηθέστερη ορθοδοντική θεραπεία σε εφήβους.,9 Dec
τα παράσιτα,паразиты,parasites,Τα κοινωνικά παράσιτα αποτελούν αγαπημένο θέμα του πολιτικού λόγου σε περιόδους κρίσης.,12 Dec
το φορείο,носилки,stretcher,Ο τραυματίας μεταφέρθηκε με φορείο στο ασθενοφόρο μετά το ατύχημα.,21 Nov
αντικειμενική κατάταξη,объективное ранжирование,objective ranking,Η αντικειμενική κατάταξη των νοσοκομείων βασίζεται σε μετρήσιμα κριτήρια.,3 Feb
αντικειμενικός,объективный,objective,Ο αντικειμενικός σχολιασμός των γεγονότων αποτελεί καθήκον του δημοσιογράφου.,30 Sep
αντιφάσκω,противоречить,to contradict,"Ο υπουργός αντιφάσκει στις δηλώσεις του, σημειώνει η αντιπολίτευση.",27 Mar
διάχυση,"диффузия, распространение",diffusion,Η διάχυση της πληροφορίας γίνεται ταχύτατα μέσω των κοινωνικών δικτύων.,22 Dec
πλέον,больше / уже,anymore / now,Πλέον οι ασθενείς μπορούν να κλείνουν ραντεβού ηλεκτρονικά σε κάθε νοσοκομείο.,24 Mar
οριακά,на грани / едва,marginally / barely,"Η χώρα αποφεύγει οριακά τη νέα ύφεση, σύμφωνα με τους αναλυτές.",24 Mar
η πτυχή,аспект / грань,"aspect, facet",Κάθε πτυχή του ζητήματος εξετάζεται προσεκτικά από την ερευνητική επιτροπή.,20 Dec
πτυχή,"грань, аспект",aspect,Η ηθική πτυχή της τεχνητής νοημοσύνης απασχολεί ολοένα περισσότερους ειδικούς.,13 May
παραπάνω,больше / лишнее,more / extra,Οι κάτοικοι ζητούν παραπάνω χώρους πρασίνου στις πυκνοκατοικημένες γειτονιές.,17 Feb
παραλίγο,"чуть не, почти","almost, nearly",Ο οδηγός παραλίγο να χάσει τη ζωή του στο σοβαρό τροχαίο.,22 Dec
παραλίγο να πέσω,едва не упал,nearly fell,"Παραλίγο να πέσω στον πάγο μπροστά στο νοσοκομείο, κατήγγειλε ασθενής.",30 Sep
αποθηκεύω,сохраняю / храню,"to store, save",Τα νοσοκομεία αποθηκεύουν τα εμβόλια σε ψυγεία υπερχαμηλής θερμοκρασίας.,9 Dec
διαδίδει,распространяет,spreads,Ο ψηφιακός Τύπος διαδίδει πληροφορίες με ασύγκριτα μεγαλύτερη ταχύτητα από τα παραδοσιακά μέσα.,Γ2 exam
διαδικασία κατάταξης,процедура распределения,classification procedure,Η διαδικασία κατάταξης των φαρμάκων ακολουθεί αυστηρά ευρωπαϊκά πρότυπα.,3 Feb
διαχέω,распространять,disseminate,Η καμπάνια διαχέει σωστές πληροφορίες για την ψυχική υγεία στο κοινό.,22 Dec
εκτεταμένος,"обширный, распространённый","extended, widespread",Εκτεταμένες ζημιές προκλήθηκαν στο νοσοκομείο μετά τη θεομηνία.,5 Dec
εξάρτηση από την τεχνητή νοημοσύνη,зависимость от ИИ,dependence on AI,Η εξάρτηση από την τεχνητή νοημοσύνη εγείρει ερωτήματα στον ιατρικό κλάδο.,Ιστορία 24
εξαρτημένος,зависимый,addicted / dependent,Εξαρτημένοι ασθενείς λαμβάνουν θεραπεία σε ειδικά κέντρα απεξάρτησης.,27 Feb
εξαρτώμαι,зависеть,to depend on,Χιλιάδες ασθενείς εξαρτώνται από φάρμακα που δεν καλύπτει ο ΕΟΠΥΥ.,27 Feb
η διαταραχή,расстройство,disorder,Η διαταραχή άγχους αποτελεί τη συνηθέστερη ψυχική πάθηση παγκοσμίως.,27 Feb
μεγαλεπίβολος,"амбициозный, грандиозный","ambitious, grand",Μεγαλεπίβολο σχέδιο ψηφιακής υγείας παρουσίασε το υπουργείο στη Βουλή.,13 Feb
πλειοψηφία,большинство,majority,Η πλειοψηφία των πολιτών τάσσεται υπέρ του δωρεάν εμβολιασμού.,13 May
προεξοφλώ,заранее оплачивать / предрешать,to pay off in advance / assume,Αναλυτές προεξοφλούν αύξηση στις δαπάνες υγείας για το επόμενο τρίμηνο.,17 Mar
όλο και περισσότερο,всё больше и больше,more and more,Όλο και περισσότερο οι πολίτες στρέφονται στην τηλεϊατρική για διαγνώσεις.,Part 4
---,Психология и эмоции,,,
ένταση,напряжение / интенсивность,tension / intensity,Η ένταση στα ελληνοτουρκικά στρατιωτικά σύνορα κορυφώθηκε μετά τις πτήσεις μαχητικών.,27 Mar
Η ένταση έχει παγιωθεί.,Напряжение закрепилось.,The tension has become entrenched.,Η ένταση έχει παγιωθεί στις σχέσεις μεταξύ εργαζομένων και εργοδοτών στον κλάδο.,Фразы уровня Γ2
αίσθημα αδυναμίας,чувство беспомощности,feeling of helplessness,Το αίσθημα αδυναμίας που βιώνουν οι πολίτες τροφοδοτεί την πολιτική αποχή.,Ιστορία 40
αίσθηση απώλειας,чувство утраты,sense of loss,Η αίσθηση απώλειας ενισχύεται σε κοινωνίες που αλλάζουν ραγδαία χωρίς στήριξη.,Ιστορία 42
ενσυναίσθηση,эмпатия,empathy,"Η ενσυναίσθηση αποτελεί βασική δεξιότητα για τους επαγγελματίες υγείας, σύμφωνα με ειδικούς.",Ιστορία 45
ευαίσθητο σημείο,чувствительное место,sensitive spot,Η μεταναστευτική πολιτική παραμένει ευαίσθητο σημείο στις ελληνοτουρκικές σχέσεις.,Γ2 exam
συναισθηματική διαθεσιμότητα,эмоциональная доступность,emotional availability,Η συναισθηματική διαθεσιμότητα των γονέων επηρεάζει καθοριστικά την ψυχική υγεία του παιδιού.,Ιστορία 19
συναισθηματική νοημοσύνη,эмоциональный интеллект,emotional intelligence,Η συναισθηματική νοημοσύνη αναδεικνύεται σε βασικό κριτήριο επιλογής στελεχών στις επιχειρήσεις.,Ιστορία 19
συναισθηματική πίεση,эмоциональное давление,emotional pressure,Η συναισθηματική πίεση που δέχονται οι υγειονομικοί έχει φτάσει σε οριακό σημείο.,Ιστορία 17
αμήχανος,неловкий,awkward,Ο υπουργός φάνηκε αμήχανος όταν κλήθηκε να απαντήσει στις καταγγελίες δημοσίως.,23 Sep
αμηχανία,неловкость,awkwardness,Η αμηχανία της κυβέρνησης ήταν εμφανής στη χθεσινή συνέντευξη Τύπου για το σκάνδαλο.,21 Nov
ανία,скука,boredom,Η ανία στον χώρο εργασίας συνδέεται με αυξημένα ποσοστά επαγγελματικής εξουθένωσης.,12 Dec
η ανία / βαρεμάρα,скука,boredom,"Η ανία στα σχολεία συνδέεται με αναποτελεσματικές διδακτικές μεθόδους, τονίζουν παιδαγωγοί.",9 Dec
απογοήτευση,разочарование,disappointment,Η απογοήτευση των πολιτών αντικατοπτρίζεται στα υψηλά ποσοστά αποχής από τις εκλογές.,Ιστορία 38
απογοητεύω,разочаровывать,to disappoint,Τα αποτελέσματα του νέου νόμου απογοήτευσαν όσους περίμεναν ουσιαστικές αλλαγές στην παιδεία.,21 Mar
αποθαρρύνω,"отпугивать, обескураживать",to discourage,Τα γραφειοκρατικά εμπόδια αποθαρρύνουν νέους επιχειρηματίες από το να ιδρύσουν εταιρεία.,30 Sep
θάρρος,смелость,courage,Χρειάζεται θάρρος για να αντιμετωπίσει κανείς δημοσίως τα δομικά προβλήματα του συστήματος.,13 May
το θάρρος,смелость / мужество,courage,Το θάρρος που επέδειξαν οι μάρτυρες στη δίκη αποτέλεσε παράδειγμα για τους πολίτες.,17 Dec
αφέλεια,наивность,naivety,Θα ήταν αφέλεια να πιστεύουμε ότι το πρόβλημα λύνεται χωρίς διαρθρωτικές αλλαγές.,21 Mar
αφελής,наивный,naive,Η αφελής αντίληψη ότι η οικονομία αυτορυθμίζεται έχει διαψευστεί επανειλημμένα.,21 Mar
ενσυνειδητότητα,осознанность,mindfulness,Η ενσυνειδητότητα ως πρακτική κερδίζει έδαφος στα σχολεία και στους χώρους εργασίας.,Ιστορία 43
συνειδητή δράση,осознанное действие,conscious action,Η συνειδητή δράση των πολιτών μπορεί να λειτουργήσει ως αντίβαρο στην αδιαφορία.,Ιστορία 40
συνειδητή χρήση,осознанное использование,conscious use,Η συνειδητή χρήση της τεχνολογίας αποτελεί ζήτημα ψυχικής υγείας για τους εφήβους.,Ιστορία 33
